ex_date,pay_date,cash_before_tax
2015-06-19,2015-06-19,0.11
2015-09-23,2015-09-23,0.09
2016-06-24,2016-06-24,0.06
2016-09-21,2016-09-21,0.079
2017-07-19,2017-07-19,0.17
2017-09-20,2017-09-20,0.1
2018-06-05,2018-06-05,0.4
2018-09-12,2018-09-12,0.16
2019-06-11,2019-06-11,0.26
2019-09-17,2019-09-17,0.12
2020-06-10,2020-06-10,0.19
2020-10-23,2020-10-23,0.07
2021-06-17,2021-06-17,0.13
2021-09-17,2021-09-17,0.16
2022-06-10,2022-06-10,0.31
2022-09-19,2022-09-19,0.16
2023-06-21,2023-06-21,0.195
2023-09-15,2023-09-15,0.145
2024-07-16,2024-07-16,0.2
2024-09-13,2024-09-13,0.146
2025-06-18,2025-06-18,0.14
2025-09-12,2025-09-12,0.088
2026-06-17,2026-06-17,0.112
