ex_date,pay_date,cash_before_tax
2015-06-16,2015-06-16,0.48
2016-06-16,2016-06-16,0.068
2017-06-16,2017-06-16,0.05
2018-06-15,2018-06-15,0.06
2019-06-14,2019-06-14,0.07
2020-06-12,2020-06-12,0.16
2021-06-17,2021-06-17,0.17
2022-06-17,2022-06-17,0.02
2023-06-09,2023-06-09,0.16
2024-06-12,2024-06-12,0.21
2025-06-11,2025-06-11,0.2306
2026-06-11,2026-06-11,0.2825
