ex_date,pay_date,cash_before_tax
2015-06-11,2015-06-11,0.23
2016-06-08,2016-06-08,0.25
2017-06-14,2017-06-14,0.1
2018-06-05,2018-06-05,0.05
2019-06-14,2019-06-14,0.05
2020-06-12,2020-06-12,0.06
2021-06-15,2021-06-15,0.07
2022-06-10,2022-06-10,0.08
2023-06-12,2023-06-12,0.1
2024-06-18,2024-06-18,0.147
2025-05-08,2025-05-08,0.201
2026-07-21,2026-07-21,0.196
