ex_date,pay_date,cash_before_tax
2015-06-12,2015-06-12,0.1
2016-06-16,2016-06-16,0.1
2017-06-06,2017-06-06,0.1
2018-02-08,2018-02-08,0.08
2018-05-25,2018-05-25,0.04
2019-08-20,2019-08-20,0.1
2020-08-19,2020-08-19,0.1
2021-07-27,2021-07-27,0.05
2022-07-08,2022-07-08,0.05
2023-07-18,2023-07-18,0.07
2024-07-17,2024-07-17,0.14
2024-11-29,2024-11-29,0.08
2025-07-24,2025-07-24,0.148
2025-10-23,2025-10-23,0.17467
2026-07-09,2026-07-09,0.18
