ex_date,pay_date,cash_before_tax
2015-05-14,2015-05-14,0.18
2016-06-08,2016-06-08,0.06
2017-06-14,2017-06-14,0.21
2018-06-08,2018-06-08,0.45
2019-05-31,2019-05-31,0.5
2020-06-03,2020-06-03,0.28
2021-06-18,2021-06-18,0.3
2021-10-15,2021-10-15,0.35
2022-06-30,2022-06-30,0.25
2022-10-13,2022-10-13,0.18
2023-06-14,2023-06-14,0.1
2023-10-16,2023-10-16,0.11
2024-06-13,2024-06-13,0.2
2024-09-25,2024-09-25,0.11
2025-06-11,2025-06-11,0.1
2025-09-24,2025-09-24,0.12
2026-06-25,2026-06-25,0.18
