ex_date,pay_date,cash_before_tax
2015-06-26,2015-06-26,0.03
2017-07-20,2017-07-20,0.11
2018-07-10,2018-07-10,0.418
2019-07-11,2019-07-11,0.33
2020-07-10,2020-07-10,0.36
2021-07-09,2021-07-09,0.8
2022-07-08,2022-07-08,1.35
2023-07-12,2023-07-12,2.18
2024-06-28,2024-06-28,1.315
2024-10-23,2024-10-23,0.109
2025-01-17,2025-01-17,0.103
2025-06-25,2025-06-25,1.136
2025-09-26,2025-09-26,0.039
2026-06-26,2026-06-26,0.909
