ex_date,pay_date,cash_before_tax
2015-07-23,2015-07-23,0.18
2015-11-13,,
2016-07-14,2016-07-14,0.025
2017-05-03,2017-05-03,0.035
2018-06-26,2018-06-26,0.076
2019-06-28,2019-06-28,0.11
2020-06-30,2020-06-30,0.043
2021-07-06,2021-07-06,0.033
2022-07-07,2022-07-07,0.07125
2023-07-07,2023-07-07,0.08508
2024-07-08,2024-07-08,0.15425
2025-06-27,2025-06-27,0.255
2026-05-27,2026-05-27,0.286
