ex_date,pay_date,cash_before_tax
2022-10-13,2022-10-13,0.60844
2023-07-14,2023-07-14,0.67654
2023-10-18,2023-10-18,0.5411
2024-07-12,2024-07-12,0.60036
2024-10-18,2024-10-18,0.67653
2025-07-11,2025-07-11,0.60506
2025-10-17,2025-10-17,0.66612
2026-07-10,2026-07-10,0.47881
