ex_date,pay_date,cash_before_tax
2015-06-15,2015-06-15,0.74
2016-07-04,2016-07-04,0.32
2017-07-10,2017-07-10,0.46
2018-07-09,2018-07-09,0.91
2019-07-08,2019-07-08,0.88
2020-06-15,2020-06-15,1.26
2021-07-12,2021-07-12,1.81
2022-07-11,2022-07-11,2.54
2023-07-05,2023-07-05,2.55
2024-07-08,2024-07-08,2.26
2025-07-07,2025-07-07,2.26
2025-11-10,2025-11-10,0.98
2026-07-13,2026-07-13,1.03
