ex_date,pay_date,cash_before_tax
2015-07-09,2015-07-09,0.08
2016-07-22,2016-07-22,0.06
2017-08-04,2017-08-04,0.06
2018-06-29,2018-06-29,0.09
2019-07-11,2019-07-11,0.1
2020-07-17,2020-07-17,0.1
2021-07-09,2021-07-09,0.12
2022-06-10,2022-06-10,0.2
2023-06-15,2023-06-15,0.2
2023-12-25,2023-12-25,0.05
2024-06-11,2024-06-11,0.2
2024-08-09,2024-08-09,0.1
2025-06-13,2025-06-13,0.28
2025-09-30,2025-09-30,0.22
2026-06-26,2026-06-26,0.38
