ex_date,pay_date,cash_before_tax
2022-08-19,2022-08-19,0.0318
2023-08-18,2023-08-18,0.036
2024-07-26,2024-07-26,0.08
2024-12-27,2024-12-27,0.082
2025-08-08,2025-08-08,0.135
2025-10-17,2025-10-17,0.123
2026-08-14,2026-08-14,0.147
