date,open,high,low,close,volume
2017-06-16,5.206490,5.215562,5.190829,5.199901,21028444
2017-06-19,5.200722,5.245233,5.190829,5.237813,43670972
2017-06-20,5.242760,5.277378,5.240287,5.253475,41008982
2017-06-21,5.256769,5.262537,5.221330,5.262537,40109818
2017-06-22,5.268305,5.284788,5.185061,5.187534,48233549
2017-06-23,5.192481,5.205669,5.129844,5.203196,61710371
2017-06-26,5.202374,5.300450,5.199070,5.297976,52130169
2017-06-27,5.301271,5.307048,5.266663,5.283967,34468128
2017-06-28,5.273252,5.297155,5.258422,5.267485,42306648
2017-06-29,5.268305,5.321880,5.268305,5.298807,45688817
2017-06-30,5.294682,5.328479,5.269127,5.315290,30783238
2017-07-03,5.311986,5.357318,5.308691,5.350729,32421523
2017-07-04,5.347435,5.349077,5.308692,5.328478,25838738
2017-07-05,5.324353,5.365560,5.313638,5.361444,39877769
2017-07-06,5.361444,5.377927,5.320237,5.361444,50518603
2017-07-07,5.349078,5.404304,5.345783,5.395231,16810497
2017-07-10,5.395231,5.410071,5.358970,5.377105,23482852
2017-07-11,5.372980,5.372980,5.314459,5.317763,21221509
2017-07-12,5.306218,5.358970,5.241107,5.310343,76122475
2017-07-13,5.306218,5.344961,5.295503,5.316111,63508763
2017-07-14,5.316933,5.322701,5.283146,5.302102,37145570
2017-07-17,5.285619,5.288093,5.086154,5.094405,108636324
2017-07-18,5.083690,5.142201,5.068850,5.140559,50999351
2017-07-19,5.130665,5.260064,5.118298,5.255948,34490790
2017-07-20,5.251823,5.297977,5.245234,5.280673,36974863
2017-07-21,5.267484,5.312816,5.267484,5.299628,47054129
2017-07-24,5.298808,5.354846,5.297156,5.340837,33088269
2017-07-25,5.342488,5.344961,5.294682,5.339193,19985965
2017-07-26,5.330943,5.340015,5.297156,5.329300,17694646
2017-07-27,5.325174,5.379579,5.287262,5.363086,26921247
2017-07-28,5.346603,5.411723,5.346603,5.392757,28787545
2017-07-31,5.391936,5.470234,5.373801,5.466939,35759612
2017-08-01,5.468592,5.468592,5.433974,5.452109,22861573
2017-08-02,5.452930,5.476833,5.415839,5.427375,32805034
2017-08-03,5.418313,5.464467,5.413366,5.429849,27196991
2017-08-04,5.423259,5.468592,5.392758,5.398535,40045153
2017-08-07,5.386989,5.478476,5.386989,5.475181,31944934
2017-08-08,5.475181,5.490843,5.452109,5.469413,24579364
2017-08-09,5.467761,5.513924,5.457876,5.505673,20601758
2017-08-10,5.497432,5.504031,5.417491,5.460351,37903017
2017-08-11,5.441394,5.452108,5.337540,5.358149,53606772
2017-08-14,5.340836,5.469413,5.340836,5.466939,42039159
2017-08-15,5.456225,5.480128,5.440564,5.470234,27296455
2017-08-16,5.466940,5.487548,5.429849,5.476833,19546309
2017-08-17,5.474360,5.533702,5.470234,5.531229,34669170
2017-08-18,5.507325,5.521335,5.489190,5.507325,35710012
