date,open,high,low,close,volume
2017-06-16,2.266054,2.274036,2.260736,2.271382,291709
2017-06-19,2.271382,2.282018,2.263400,2.282018,365769
2017-06-20,2.284672,2.297973,2.236799,2.276700,1345005
2017-06-21,2.276700,2.287336,2.266054,2.279354,197251
2017-06-22,2.279354,2.279354,2.239463,2.239463,106338
2017-06-23,2.234144,2.247445,2.212862,2.247445,200102
2017-06-26,2.244781,2.274036,2.236799,2.274036,216990
2017-06-27,2.274036,2.282018,2.260736,2.268718,265828
2017-06-28,2.268718,2.268718,2.252763,2.258081,173673
2017-06-29,2.268718,2.279354,2.260736,2.266054,167714
2017-06-30,2.263400,2.274036,2.260736,2.274036,134047
2017-07-03,2.274036,2.295319,2.266054,2.295319,321318
2017-07-04,2.289991,2.295319,2.282018,2.284672,221852
2017-07-05,2.289991,2.305955,2.284672,2.305955,343763
2017-07-06,2.303291,2.321910,2.292655,2.316592,203355
2017-07-07,2.305955,2.319255,2.305955,2.316592,42842
2017-07-10,2.319255,2.319255,2.300637,2.303291,200248
2017-07-11,2.308610,2.308610,2.274036,2.274036,158247
2017-07-12,2.279354,2.284672,2.236799,2.271382,351147
2017-07-13,2.268718,2.279354,2.268718,2.271382,50446
2017-07-14,2.271382,2.271382,2.260736,2.266054,20361
2017-07-17,2.252763,2.252763,2.138397,2.141052,477591
2017-07-18,2.141052,2.167653,2.135734,2.167653,3682112
2017-07-19,2.162334,2.194243,2.159670,2.194243,248537
2017-07-20,2.167653,2.220844,2.167653,2.204890,320514
2017-07-21,2.202226,2.215526,2.202226,2.204890,97127
2017-07-24,2.202226,2.223498,2.202226,2.220844,133535
2017-07-25,2.220844,2.220844,2.210208,2.220844,112114
2017-07-26,2.215526,2.220844,2.212862,2.218180,272189
2017-07-27,2.218180,2.255417,2.212862,2.255417,381342
2017-07-28,2.250099,2.260736,2.247445,2.258081,367232
2017-07-31,2.250100,2.274036,2.250100,2.274036,312655
2017-08-01,2.274036,2.279354,2.266054,2.274036,748062
2017-08-02,2.274036,2.274036,2.252763,2.258081,146586
2017-08-03,2.258082,2.276700,2.252763,2.266054,464577
2017-08-04,2.263400,2.276700,2.255417,2.255417,513013
2017-08-07,2.255417,2.276700,2.255417,2.276700,119937
2017-08-08,2.276700,2.287336,2.268718,2.284672,244992
2017-08-09,2.276700,2.292655,2.276700,2.289991,341351
2017-08-10,2.289991,2.292655,2.260736,2.274036,161134
2017-08-11,2.268718,2.268718,2.234145,2.236799,333857
2017-08-14,2.236799,2.313937,2.236799,2.313937,2884116
2017-08-15,2.292654,2.297973,2.282018,2.297973,1232708
2017-08-16,2.295319,2.313937,2.287336,2.311273,437198
2017-08-17,2.311273,2.332546,2.311273,2.329892,159892
2017-08-18,2.311273,2.327228,2.311273,2.316592,97054
2017-08-21,2.311273,2.335210,2.311273,2.335210,798434
2017-08-22,2.327228,2.329892,2.316591,2.319255,71831
2017-08-23,2.319255,2.324574,2.295319,2.305955,1740786
2017-08-24,2.305955,2.308609,2.284672,2.292655,919358
2017-08-25,2.289991,2.316592,2.289991,2.316592,293098
2017-08-28,2.319255,2.348510,2.319255,2.332546,834185
2017-08-29,2.335210,2.340528,2.327228,2.332546,1093470
2017-08-30,2.329892,2.343192,2.329892,2.343192,268241
2017-08-31,2.343192,2.351165,2.343192,2.351165,470426
2017-09-01,2.351165,2.372447,2.348511,2.372447,637739
2017-09-04,2.375102,2.391066,2.369783,2.388402,614855
2017-09-05,2.388402,2.388402,2.369783,2.380430,191512
2017-09-06,2.380430,2.401702,2.377766,2.401702,1247362
2017-09-07,2.401702,2.415003,2.391066,2.391066,340437
2017-09-08,2.388402,2.404366,2.380429,2.396384,319856
2017-09-11,2.396384,2.494795,2.393720,2.425639,764694
2017-09-12,2.422985,2.433621,2.393720,2.420321,2452219
2017-09-13,2.420321,2.428303,2.407021,2.425639,176926
2017-09-14,2.425639,2.436276,2.412339,2.415003,365075
2017-09-15,2.415003,2.430957,2.401702,2.412339,1994587
2017-09-18,2.412339,2.433621,2.409685,2.430957,1579688
2017-09-19,2.433621,2.438939,2.415003,2.422985,112334
2017-09-20,2.422985,2.441594,2.417657,2.441594,685114
2017-09-21,2.441594,2.441594,2.412339,2.412339,52127
2017-09-22,2.409685,2.412339,2.391066,2.407021,350745
2017-09-25,2.407020,2.407020,2.367129,2.369783,134559
2017-09-26,2.369783,2.377766,2.361811,2.372447,385801
2017-09-27,2.380430,2.396384,2.380430,2.393720,152434
2017-09-28,2.393720,2.393720,2.380430,2.380430,575229
2017-09-29,2.388402,2.407020,2.388402,2.404366,786006
2017-10-09,2.404366,2.436276,2.404366,2.436276,756177
2017-10-10,2.438939,2.457558,2.430957,2.457558,782898
2017-10-11,2.452240,2.452240,2.444258,2.446922,583893
2017-10-12,2.441594,2.441594,2.422985,2.438939,112772
2017-10-13,2.438939,2.449576,2.430957,2.446922,58086
2017-10-16,2.446922,2.446922,2.399038,2.399038,204598
2017-10-17,2.399038,2.412339,2.388402,2.399038,160257
2017-10-18,2.399038,2.407021,2.377766,2.377766,774856
2017-10-19,2.380430,2.380430,2.345847,2.359147,227628
2017-10-20,2.356493,2.383084,2.353829,2.380430,389420
2017-10-23,2.388402,2.393720,2.385748,2.393720,433725
2017-10-24,2.401702,2.401702,2.361811,2.377766,42513
2017-10-25,2.375102,2.393720,2.372447,2.391066,71282
2017-10-26,2.385748,2.407021,2.385748,2.407021,223314
2017-10-27,2.401702,2.404366,2.391066,2.391066,121289
2017-10-30,2.391066,2.391066,2.316591,2.332546,172357
2017-10-31,2.335210,2.345847,2.329892,2.345847,79142
2017-11-01,2.348511,2.356493,2.348511,2.348511,59402
2017-11-02,2.348510,2.348510,2.324573,2.327228,157771
2017-11-03,2.327228,2.329892,2.297973,2.305955,398998
2017-11-06,2.305955,2.324574,2.297973,2.324574,192097
2017-11-07,2.319255,2.337874,2.319255,2.337874,295620
2017-11-08,2.337874,2.356493,2.335210,2.345847,224850
2017-11-09,2.345847,2.356493,2.345847,2.356493,89962
2017-11-10,2.356493,2.372447,2.353829,2.367129,1314554
2017-11-13,2.369783,2.372447,2.361811,2.369783,244663
2017-11-14,2.364465,2.372447,2.348510,2.351165,588609
2017-11-15,2.359147,2.359147,2.329892,2.335210,72306
2017-11-16,2.327228,2.340528,2.327228,2.329892,94824
2017-11-17,2.324574,2.324574,2.178289,2.186271,1801906
2017-11-20,2.244781,2.266054,2.196907,2.258081,2065613
2017-11-21,2.260736,2.266054,2.242117,2.255417,264914
2017-11-22,2.250099,2.268718,2.234145,2.255417,473899
2017-11-23,2.250099,2.250099,2.204889,2.207544,212750
2017-11-24,2.218180,2.220844,2.196907,2.212862,156236
2017-11-27,2.212862,2.215526,2.186271,2.186271,281802
2017-11-28,2.186271,2.226162,2.186271,2.223498,668591
2017-11-29,2.226162,2.228826,2.204889,2.226162,593763
2017-11-30,2.220844,2.228826,2.210208,2.218180,362626
2017-12-01,2.215526,2.239463,2.212862,2.234145,279317
2017-12-04,2.236799,2.236799,2.207544,2.207544,565469
2017-12-05,2.210208,2.212862,2.143716,2.157006,1191145
2017-12-06,2.175625,2.180953,2.138397,2.178289,609518
2017-12-07,2.170307,2.188925,2.167652,2.175625,459423
2017-12-08,2.178289,2.202225,2.175625,2.183607,1597271
2017-12-11,2.194243,2.215526,2.194243,2.212862,477810
2017-12-12,2.204890,2.215526,2.186271,2.186271,1826946
2017-12-13,2.191589,2.212862,2.186271,2.207544,1498865
2017-12-14,2.207544,2.212862,2.202226,2.212862,865403
2017-12-15,2.204889,2.212862,2.196907,2.207544,1381596
2017-12-18,2.210208,2.210208,2.186271,2.191589,561083
2017-12-19,2.194244,2.207544,2.191589,2.204890,572049
2017-12-20,2.204889,2.204889,2.180953,2.183607,449846
2017-12-21,2.183607,2.191589,2.159670,2.183607,381196
2017-12-22,2.178289,2.194243,2.178289,2.180953,208912
2017-12-25,2.183607,2.186271,2.154352,2.154352,979857
2017-12-26,2.162334,2.180953,2.146370,2.172971,1613830
2017-12-27,2.172971,2.175625,2.159670,2.167653,541489
2017-12-28,2.170307,2.178289,2.157006,2.164988,292915
2017-12-29,2.172971,2.191589,2.167653,2.186271,255958
2018-01-02,2.191589,2.210208,2.188925,2.210208,600489
2018-01-03,2.210208,2.228827,2.210208,2.228827,1274527
2018-01-04,2.231481,2.231481,2.215526,2.228827,334734
2018-01-05,2.223498,2.236799,2.223498,2.231481,1479856
2018-01-08,2.231481,2.236799,2.220844,2.234145,463627
2018-01-09,2.236799,2.239463,2.226163,2.231481,296169
2018-01-10,2.234145,2.236799,2.207544,2.220844,353414
2018-01-11,2.218180,2.236799,2.210208,2.234145,514950
2018-01-12,2.236799,2.236799,2.220844,2.223498,146988
2018-01-15,2.210208,2.210208,2.157006,2.162334,1297227
2018-01-16,2.170307,2.170307,2.157006,2.167653,684675
2018-01-17,2.172970,2.172970,2.133069,2.164988,1444507
2018-01-18,2.157006,2.172970,2.157006,2.164988,636313
2018-01-19,2.164988,2.178289,2.157006,2.157006,1524526
2018-01-22,2.157006,2.199562,2.149034,2.188925,3700280
2018-01-23,2.202226,2.202226,2.183607,2.186271,585757
2018-01-24,2.188925,2.212862,2.175625,2.212862,963115
2018-01-25,2.207544,2.223498,2.204889,2.207544,839486
2018-01-26,2.207544,2.212862,2.202226,2.202226,542842
2018-01-29,2.207544,2.210208,2.172970,2.178289,455402
2018-01-30,2.172971,2.178289,2.167653,2.172971,1868363
2018-01-31,2.159670,2.167652,2.119779,2.119779,1543389
2018-02-01,2.130415,2.133069,2.037322,2.037322,2468632
2018-02-02,2.047958,2.047958,1.973494,2.024022,862296
2018-02-05,2.021368,2.026686,1.994767,2.018703,488484
2018-02-06,1.994767,1.997431,1.920302,1.922956,1218268
2018-02-07,1.933593,1.973494,1.891037,1.922956,1165702
2018-02-08,1.925620,1.954875,1.922956,1.949557,792074
2018-02-09,1.928275,1.928275,1.864446,1.888383,1098697
2018-02-12,1.899020,1.946893,1.899020,1.944239,769008
2018-02-13,1.946893,1.962857,1.944239,1.949557,568430
2018-02-14,1.949557,1.954875,1.933593,1.954875,392893
2018-02-22,1.968176,1.986794,1.960193,1.984130,446117
2018-02-23,1.984130,1.992112,1.973494,1.986794,402763
2018-02-26,1.994767,2.034668,1.994767,2.034668,634485
2018-02-27,2.037322,2.053287,2.032004,2.047959,1693812
2018-02-28,2.047959,2.058605,2.024022,2.050622,407661
2018-03-01,2.050623,2.079878,2.042640,2.079878,691694
2018-03-02,2.071905,2.085196,2.050623,2.071905,606959
2018-03-05,2.071905,2.082542,2.069241,2.082542,293573
2018-03-06,2.082542,2.109133,2.082542,2.103815,1171880
2018-03-07,2.103815,2.106478,2.087860,2.087860,384559
2018-03-08,2.085196,2.101160,2.085196,2.101160,289406
2018-03-09,2.103815,2.143716,2.103815,2.141052,2086304
2018-03-12,2.141052,2.170307,2.141052,2.167653,1050408
2018-03-13,2.172971,2.175625,2.154352,2.157006,591899
2018-03-14,2.154352,2.159670,2.127751,2.130415,820989
2018-03-15,2.127751,2.135734,2.103815,2.127751,620850
2018-03-16,2.130415,2.143716,2.127751,2.130415,248611
2018-03-19,2.130415,2.143716,2.117115,2.130415,283667
2018-03-20,2.127751,2.130415,2.106479,2.127751,284837
2018-03-21,2.133070,2.149034,2.117115,2.117115,455329
2018-03-22,2.119779,2.125097,2.101160,2.111797,298764
2018-03-23,2.095842,2.095842,1.976148,2.005413,2155210
2018-03-26,2.008067,2.037322,1.952211,2.032004,1151117
2018-03-27,2.037322,2.095842,2.037322,2.093178,887373
2018-03-28,2.079878,2.087860,2.066577,2.077223,437198
2018-03-29,2.079878,2.093178,2.074559,2.093178,270946
2018-03-30,2.093178,2.127751,2.093178,2.127751,552712
2018-04-02,2.125097,2.151688,2.119779,2.135733,539479
2018-04-03,2.125097,2.125097,2.098496,2.111797,565981
2018-04-04,2.117115,2.125097,2.093178,2.098496,222839
2018-04-09,2.098496,2.109133,2.071905,2.098496,364563
2018-04-10,2.101160,2.103814,2.074559,2.101160,161537
2018-04-11,2.101160,2.122433,2.101160,2.117115,322452
2018-04-12,2.111796,2.119779,2.101160,2.106478,331883
2018-04-13,2.101160,2.117115,2.098496,2.101160,207157
2018-04-16,2.098496,2.111797,2.085196,2.101160,229090
2018-04-17,2.101160,2.106478,2.050623,2.055941,258188
2018-04-18,2.055941,2.090514,2.029350,2.085196,963151
