date,open,high,low,close,volume
2017-06-16,2.104258,2.114502,2.095721,2.099990,242180063
2017-06-19,2.100843,2.133282,2.100843,2.131575,258861173
2017-06-20,2.134135,2.139257,2.115355,2.119623,178760870
2017-06-21,2.132428,2.142672,2.113648,2.141818,314425160
2017-06-22,2.137550,2.181086,2.128160,2.154623,526239123
2017-06-23,2.150355,2.171697,2.140965,2.170843,288116856
2017-06-26,2.171696,2.193891,2.169989,2.180233,338375282
2017-06-27,2.176818,2.192184,2.169135,2.188769,313123076
2017-06-28,2.183647,2.193891,2.174257,2.175111,258574419
2017-06-29,2.177672,2.190476,2.171696,2.189623,188914556
2017-06-30,2.178526,2.188769,2.174257,2.183648,179664471
2017-07-03,2.187063,2.187916,2.162307,2.170843,176384655
2017-07-04,2.169135,2.173404,2.149501,2.151209,242204084
2017-07-05,2.150355,2.190476,2.149501,2.187915,245548173
2017-07-06,2.182793,2.200720,2.175964,2.191330,215517415
2017-07-07,2.187915,2.193037,2.177672,2.186208,238047727
2017-07-10,2.184501,2.204135,2.180233,2.198160,245710897
2017-07-11,2.196452,2.240842,2.195598,2.222915,374132073
2017-07-12,2.220354,2.250232,2.209257,2.216939,330030316
2017-07-13,2.220354,2.252793,2.216939,2.251939,317856711
2017-07-14,2.253647,2.275842,2.245964,2.274988,248372460
2017-07-17,2.277549,2.309134,2.251086,2.278403,741421246
2017-07-18,2.271574,2.287793,2.249379,2.269866,501216693
2017-07-19,2.270720,2.307427,2.269867,2.306574,413717813
2017-07-20,2.303159,2.314256,2.293769,2.313403,431109086
2017-07-21,2.304866,2.308281,2.284378,2.287793,372423635
2017-07-24,2.282672,2.313403,2.282672,2.304867,311506410
2017-07-25,2.304866,2.313403,2.288647,2.290354,374252478
2017-07-26,2.289500,2.309134,2.270720,2.285232,460048131
2017-07-27,2.281817,2.292061,2.267305,2.285232,233115920
2017-07-28,2.281817,2.292915,2.274988,2.287793,161068264
2017-07-31,2.286086,2.298037,2.280110,2.289500,230753867
2017-08-01,2.291208,2.326208,2.288647,2.325354,314403858
2017-08-02,2.326208,2.340720,2.321939,2.328768,330842399
2017-08-03,2.325354,2.336451,2.295476,2.295476,433976751
2017-08-04,2.293769,2.304012,2.279257,2.280110,224558853
2017-08-07,2.276696,2.295476,2.269866,2.286939,193812021
2017-08-08,2.286939,2.292915,2.275842,2.289500,145122573
2017-08-09,2.286086,2.287793,2.272427,2.274135,203857942
2017-08-10,2.273281,2.289500,2.250232,2.266452,347841237
2017-08-11,2.252793,2.259623,2.228037,2.230598,327199901
2017-08-14,2.234867,2.257062,2.230598,2.249379,342343730
2017-08-15,2.251940,2.277549,2.249379,2.263037,352219318
2017-08-16,2.258769,2.261330,2.245964,2.253647,177978171
2017-08-17,2.256208,2.266452,2.251086,2.263891,142533558
2017-08-18,2.257062,2.279257,2.254501,2.274135,277155932
2017-08-21,2.275842,2.286939,2.267305,2.273281,230313435
2017-08-22,2.277549,2.296330,2.273281,2.295476,399565654
2017-08-23,2.295476,2.322793,2.292915,2.311696,303389092
2017-08-24,2.312549,2.325354,2.296330,2.303159,245009889
2017-08-25,2.302305,2.355232,2.300598,2.353524,489901366
2017-08-28,2.360354,2.405597,2.360354,2.379988,555476865
2017-08-29,2.378281,2.387671,2.370598,2.380842,351996925
2017-08-30,2.379988,2.401329,2.365475,2.368036,364944001
2017-08-31,2.371451,2.379134,2.350110,2.361207,584238327
2017-09-01,2.360354,2.377427,2.349256,2.356085,404497028
2017-09-04,2.354378,2.361207,2.343280,2.359500,296871501
2017-09-05,2.358646,2.384256,2.358646,2.374866,317520271
2017-09-06,2.368890,2.371451,2.353524,2.359500,309191976
2017-09-07,2.362061,2.366329,2.339012,2.341573,267544288
2017-09-08,2.342427,2.350110,2.330476,2.337305,190675141
2017-09-11,2.342427,2.357793,2.327061,2.330476,386435942
2017-09-12,2.334744,2.346695,2.327061,2.344134,378796132
2017-09-13,2.342427,2.344134,2.330476,2.338159,307060583
2017-09-14,2.339012,2.344134,2.317671,2.323647,279469617
2017-09-15,2.322793,2.329622,2.314256,2.323647,261055082
2017-09-18,2.325354,2.344988,2.325354,2.329622,319970691
2017-09-19,2.331330,2.337305,2.313403,2.321939,309547000
2017-09-20,2.320232,2.327915,2.315110,2.319379,221019452
2017-09-21,2.318525,2.341573,2.315110,2.328768,276094952
2017-09-22,2.324500,2.336451,2.316817,2.329622,274585065
2017-09-25,2.323647,2.333037,2.319378,2.329622,344747300
2017-09-26,2.327915,2.334744,2.325354,2.331329,248984480
2017-09-27,2.330476,2.330476,2.313403,2.314256,648228100
2017-09-28,2.314256,2.318525,2.308281,2.317671,265998872
2017-09-29,2.319378,2.334744,2.318524,2.327061,470840324
2017-10-09,2.379988,2.389378,2.341574,2.347549,575367164
2017-10-10,2.346695,2.359500,2.328768,2.344134,595061455
2017-10-11,2.344988,2.362915,2.344134,2.357793,333377202
2017-10-12,2.356086,2.370598,2.350964,2.367183,203575404
2017-10-13,2.366330,2.368891,2.361208,2.365476,161877110
2017-10-16,2.364622,2.384256,2.364622,2.374012,312720349
2017-10-17,2.373159,2.378280,2.366329,2.372305,242466318
2017-10-18,2.372305,2.394500,2.370597,2.391939,673569832
2017-10-19,2.391086,2.396208,2.387671,2.395354,327686441
2017-10-20,2.390232,2.390232,2.379988,2.381695,182730139
2017-10-23,2.380842,2.383403,2.375720,2.382549,238330478
2017-10-24,2.377427,2.401330,2.377427,2.395354,556614444
2017-10-25,2.394500,2.397914,2.388524,2.391939,359967879
2017-10-26,2.397061,2.426939,2.393646,2.413280,521254366
2017-10-27,2.413280,2.453402,2.409866,2.452548,333262936
2017-10-30,2.450841,2.455110,2.420110,2.442305,520035030
2017-10-31,2.434622,2.434622,2.424378,2.433768,218165928
2017-11-01,2.433768,2.449987,2.420963,2.426085,378125364
2017-11-02,2.422670,2.431207,2.413280,2.430353,410226675
2017-11-03,2.427793,2.437183,2.412427,2.433768,551914902
2017-11-06,2.429500,2.431207,2.415841,2.426939,285482550
2017-11-07,2.426939,2.461085,2.426939,2.454256,621831860
2017-11-08,2.453402,2.474743,2.447426,2.453402,571053240
2017-11-09,2.450841,2.463646,2.445719,2.462792,426942919
