date,open,high,low,close,volume
2017-06-16,9.653903,9.691861,9.603293,9.679208,20319473
2017-06-19,9.666556,9.704514,9.653903,9.679208,17585815
2017-06-20,9.691861,9.742471,9.666556,9.742471,23515978
2017-06-21,9.742471,9.780429,9.679208,9.767776,22622756
2017-06-22,9.767777,9.869525,9.729622,9.780496,29045153
2017-06-23,9.716903,9.856806,9.691467,9.844088,33266978
2017-06-26,9.818651,9.869525,9.805933,9.831370,26395813
2017-06-27,9.818651,9.844088,9.742340,9.793214,24867905
2017-06-28,9.767777,9.844088,9.755059,9.780496,25155911
2017-06-29,9.793214,9.818651,9.729622,9.780496,24595993
2017-06-30,9.742340,9.831370,9.716903,9.780496,17653192
2017-07-03,9.793214,9.844088,9.755059,9.844088,19488606
2017-07-04,9.844088,9.996710,9.844088,9.958554,53288809
2017-07-05,9.945836,9.958554,9.894962,9.933117,20691776
2017-07-06,9.907680,10.022146,9.894962,9.958554,33832100
2017-07-07,9.933117,9.971273,9.894962,9.920399,18230510
2017-07-10,9.920399,10.060302,9.894962,9.971273,36944858
2017-07-11,9.971273,10.047583,9.945836,9.971273,28131084
2017-07-12,9.983991,9.996710,9.844088,9.907680,28920647
2017-07-13,9.907680,10.034865,9.882243,10.034865,43009209
2017-07-14,10.047583,10.098457,9.996710,10.034865,31718231
2017-07-17,10.022146,10.352826,9.894962,10.340108,127291134
2017-07-18,10.238360,10.327390,10.162050,10.251079,80143891
2017-07-19,10.200205,10.327390,10.187486,10.314671,67786007
2017-07-20,10.289234,10.352826,10.263797,10.314671,43466345
2017-07-21,10.301953,10.327390,10.187486,10.212923,33842063
2017-07-24,10.174768,10.251079,10.162050,10.187486,30547021
2017-07-25,10.174768,10.365545,10.162050,10.263797,48473302
2017-07-26,10.301953,10.416419,10.263797,10.416419,64278572
2017-07-27,10.530885,10.556322,10.327390,10.365545,65010618
2017-07-28,10.327390,10.352826,10.212923,10.301953,43078145
2017-07-31,10.301953,10.378263,10.263797,10.340108,32503149
2017-08-01,10.378263,10.480011,10.340108,10.467293,47033800
2017-08-02,10.416419,10.429137,10.327390,10.352826,40122876
2017-08-03,10.365545,10.390982,10.263797,10.314671,29118446
2017-08-04,10.263797,10.505448,10.263797,10.403700,48838636
2017-08-07,10.403700,10.467293,10.327390,10.416419,26026160
2017-08-08,10.390982,10.429137,10.340108,10.403700,23563131
2017-08-09,10.390982,10.403700,10.327390,10.327390,20122058
2017-08-10,10.340108,10.378263,10.212923,10.289234,37198009
2017-08-11,10.212923,10.251079,10.022146,10.136613,57845790
2017-08-14,10.098457,10.123894,10.047583,10.111176,28246231
2017-08-15,10.085739,10.136613,10.060302,10.085739,23089292
2017-08-16,10.085739,10.098457,10.022146,10.047583,27964493
2017-08-17,10.060302,10.085739,10.034865,10.085739,30690868
2017-08-18,10.034865,10.136613,10.009428,10.111176,31139822
2017-08-21,10.149331,10.212923,10.111176,10.200205,32544562
2017-08-22,10.200205,10.225642,10.136613,10.187486,21880526
2017-08-23,10.187486,10.225642,10.149331,10.162050,18377500
2017-08-24,10.187486,10.212923,10.111176,10.123894,19566103
2017-08-25,10.212923,10.301953,10.174768,10.263797,53153297
2017-08-28,10.301953,10.467293,10.276516,10.429137,63427127
2017-08-29,10.429137,10.441856,10.301953,10.327390,33692654
2017-08-30,10.314671,10.416419,10.289234,10.340108,27404019
2017-08-31,10.301953,10.340108,10.276516,10.314671,21613910
2017-09-01,10.352826,10.365545,10.263797,10.289234,32021967
2017-09-04,10.289234,10.327390,10.263797,10.301953,30874353
2017-09-05,10.289234,10.340108,10.238360,10.276516,23336691
2017-09-06,10.276516,10.378263,10.276516,10.352826,36160512
2017-09-07,10.365545,10.378263,10.276516,10.289234,27271901
2017-09-08,10.289234,10.314671,10.251079,10.276516,18564023
