date,open,high,low,close,volume
2017-06-16,3.020853,3.034510,3.011463,3.015731,102395662
2017-06-19,3.017438,3.052435,3.017438,3.049875,141314249
2017-06-20,3.052435,3.058410,3.033656,3.040485,129832010
2017-06-21,3.060118,3.079750,3.040485,3.078897,202666097
2017-06-22,3.072921,3.117308,3.071214,3.082311,190007357
2017-06-23,3.079750,3.113894,3.066093,3.112186,97993376
2017-06-26,3.112186,3.153159,3.112186,3.150598,107394592
2017-06-27,3.148891,3.157427,3.132673,3.152305,80665111
2017-06-28,3.149745,3.149745,3.126698,3.130966,79248790
2017-06-29,3.131819,3.154013,3.130966,3.149745,86837702
2017-06-30,3.139501,3.154012,3.129258,3.144623,82475091
2017-07-03,3.145477,3.148037,3.118162,3.130966,96518891
2017-07-04,3.130112,3.130966,3.098530,3.105358,135215496
2017-07-05,3.103651,3.151452,3.103651,3.145477,133333806
2017-07-06,3.145477,3.149745,3.120723,3.142916,161832079
2017-07-07,3.138648,3.145477,3.124991,3.141209,82642695
2017-07-10,3.140355,3.158280,3.136941,3.144623,95092105
2017-07-11,3.141209,3.194985,3.140355,3.170231,131419688
2017-07-12,3.165109,3.182181,3.137795,3.151452,117476077
2017-07-13,3.152305,3.186449,3.152305,3.183888,111237938
2017-07-14,3.184742,3.208642,3.175352,3.205228,85576653
2017-07-17,3.202667,3.210350,3.137795,3.161695,194210589
2017-07-18,3.156573,3.167670,3.134380,3.163402,160845690
2017-07-19,3.162548,3.233396,3.159134,3.229128,174118048
2017-07-20,3.226568,3.245347,3.221446,3.244493,97697579
2017-07-21,3.235957,3.247054,3.218032,3.228275,97761450
2017-07-24,3.224860,3.251322,3.218885,3.244493,64264258
2017-07-25,3.243640,3.245347,3.213764,3.219739,96998398
2017-07-26,3.219739,3.234250,3.188156,3.201814,154254047
2017-07-27,3.202667,3.218885,3.180474,3.211203,146357436
2017-07-28,3.206935,3.226568,3.200960,3.223153,74148654
2017-07-31,3.223153,3.247054,3.215471,3.235104,119463626
2017-08-01,3.235104,3.264126,3.233396,3.260711,122451036
2017-08-02,3.262418,3.277783,3.255590,3.260711,118097968
2017-08-03,3.255590,3.263272,3.221446,3.228275,107292854
2017-08-04,3.228275,3.240225,3.207789,3.208642,104071614
